application_id,applicant_gender,applicant_age,annual_income_aud,income_consistency,occupation_class,employment_sector,residence_area,requested_amount_aud,existing_repayments_aud,expense_flag_a,expense_flag_b,dependants_count,credit_rating,prior_default_count,card_status,property_ref,property_age_years,property_category,property_area,has_co_applicant,property_value_aud,marketing_channel,branch_id,application_date,monthly_income_aud,risk_review_flag,enquiry_count_12m,sanctioned_amount_aud
LN-000002,male,65,3572.42,steady,retiree,,outer_metro,80823.31,369.81,no,yes,,806.52,1,current,77,3572.42,cat_c,,1,118370.54,online,BR111,30/11/2024,290.87,1,3,56576.32
LN-000003,male,48,,variable,salaried,retail,outer_metro,41673.08,188.25,no,no,2.0,613.7,1,current,743,,cat_b,regional,0,47000.08,online,BR110,25/09/2023,,0,4,0.0
LN-000005,female,18,3551.48,variable,salaried,retail,outer_metro,199076.75,941.27,no,yes,2.0,780.28,0,current,788,,cat_b,outer_metro,1,277686.3,online,BR164,13/09/2024,286.62,0,4,149307.56
LN-000006,male,50,,variable,commercial_partner,retail,inner_metro,120176.89,309.71,no,yes,2.0,,0,none_held,709,,cat_a,outer_metro,1,203173.22,online,BR051,25/07/2023,,1,3,78114.98
LN-000007,male,28,,,salaried,,outer_metro,62745.53,454.49,no,no,,,0,current,772,,cat_d,regional,1,86636.21,branch_walkin,BR072,13/12/2024,,1,2,50196.42
LN-000008,male,29,4574.05,variable,salaried,administration,outer_metro,273722.58,645.23,no,yes,1.0,,1,none_held,545,4574.05,cat_b,regional,1,469795.1,referral,BR112,03/10/2024,380.78,1,11,218978.06
LN-000009,male,44,4080.62,variable,salaried,transport,outer_metro,125395.64,533.04,yes,yes,3.0,738.65,0,current,829,4080.62,cat_d,outer_metro,1,236296.85,branch_walkin,BR052,10/10/2023,327.91,1,0,0.0
LN-000010,male,33,3114.37,variable,commercial_partner,finance,outer_metro,94012.79,520.29,yes,no,3.0,789.46,1,current,426,3114.37,cat_a,inner_metro,1,149956.38,online,BR110,02/07/2024,254.45,1,2,65808.95
LN-000012,female,20,5060.01,variable,salaried,,outer_metro,116650.32,,no,yes,3.0,,0,none_held,259,5060.01,cat_d,inner_metro,1,135158.14,online,BR052,17/06/2024,435.35,0,5,93320.26
LN-000013,female,65,1900.07,steady,retiree,,outer_metro,181485.45,784.32,no,yes,2.0,823.18,0,current,20,1900.07,cat_c,regional,1,270001.63,online,BR179,14/06/2024,156.32,0,2,136114.09
LN-000014,female,37,2860.39,variable,salaried,,outer_metro,67578.23,613.75,yes,no,3.0,791.73,0,none_held,901,,cat_a,inner_metro,1,82278.29,outbound_call,BR009,05/02/2024,231.83,0,9,47304.76
LN-000020,female,45,,variable,salaried,retail,outer_metro,62431.97,639.34,no,yes,2.0,694.69,0,none_held,429,,cat_a,outer_metro,1,86014.99,online,BR171,18/04/2023,,1,2,43702.37
LN-000021,female,18,7170.63,variable,salaried,administration,inner_metro,306351.58,,yes,no,1.0,645.68,0,none_held,916,7170.63,cat_d,outer_metro,0,545488.31,branch_walkin,BR004,30/05/2024,622.78,0,1,0.0
LN-000022,female,61,2647.26,steady,retiree,,outer_metro,54488.37,527.88,no,yes,2.0,865.4,0,current,965,,cat_a,outer_metro,0,88953.9,referral,BR100,10/01/2023,207.63,0,1,40866.28
LN-000024,female,62,4467.61,variable,salaried,,outer_metro,287267.27,822.94,no,yes,2.0,790.05,0,none_held,957,4467.61,cat_b,regional,0,464045.59,referral,BR146,29/05/2023,369.92,1,3,0.0
LN-000025,male,18,5457.8,variable,commercial_partner,labouring,inner_metro,108679.18,1055.29,no,yes,1.0,711.01,0,none_held,101,5457.8,cat_a,inner_metro,1,192926.35,branch_walkin,BR111,30/10/2023,440.96,1,1,76075.43
LN-000026,male,58,4465.72,variable,commercial_partner,retail,outer_metro,216358.9,675.47,no,yes,2.0,861.03,0,dormant,474,4465.72,cat_c,inner_metro,1,343168.82,online,BR029,02/11/2024,367.52,0,0,151451.23
LN-000027,male,18,,variable,salaried,labouring,regional,152380.04,518.2,no,no,1.0,,0,current,627,,cat_d,outer_metro,0,202947.33,referral,BR161,10/03/2024,,1,1,0.0
